restaurant_name_tc,restaurant_name_en,district_name_tc,district_name_en,district_code,address_tc,address_en,license_id,license_type_code,info_code,expiry_date,latitude,longitude,lastupdate,google_id,rating,price_level,review_count,primary_type,all_types,naming_style_en,naming_style_tc
金泰潮,金泰潮,旺角區,Mong Kok,62,九龍大角咀角祥街91號地下,"G/F, 91 KOK CHEUNG STREET, TAI KOK TSUI, KOWLOON",2262808008,RL,,2026-09-18,22.323045,114.1602656,2025-11-12,ChIJe7IawLAABDQRsJn66g683mE,4.3,2.0,65,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
糯米泰,糯米泰,葵青區,Kwai Tsing,91,新界葵涌光輝圍39號A昌偉大廈地下29號鋪,"SHOP 29, G/F, CHEONG WAI MANSION, 39A KWONG FAI CIRCUIT, KWAI CHUNG, NEW TERRITORIES",2291801610,RL,,2026-06-19,22.3683388,114.1332498,2025-05-13,ChIJ17v8Ol_5AzQR-0NvHkMnxOk,4.6,0.0,37,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰屋泰國餐廳,BAN THAI RESTAURANT,西貢區,Sai Kung,98,新界西貢西貢海傍街5號地下,"G/F, 5 SAI KUNG HOI PONG STREET, SAI KUNG, NEW TERRITORIES",2298802506,RL,,2026-10-21,22.3794191,114.2709375,2025-09-17,ChIJMZNcTbwFBDQR_qCdsE0yuEg,4.0,0.0,54,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
金泰皇,金泰皇,九龍城區,Kowloon City,52,九龍九龍城城南道41號地下及閣樓,"G/F & M/F, 41 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",2252804137,RL,#G,2026-04-03,22.3296348,114.1908354,2025-03-18,ChIJc_fRrzkHBDQRb-Mz_tckv9w,4.0,0.0,156,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰國簡單廚房,The Satay House,灣仔區,Wan Chai,12,香港灣仔謝斐道118號地下D、E及F號舖,"SHOP D, E AND F, G/F., 118 JAFFE ROAD, WAN CHAI, HONG KONG",2212807046,RL,,2027-03-11,22.2785132,114.1727552,2026-02-04,ChIJq13A9A4BBDQROirYcjRDohI,3.7,0.0,36,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰金船,GOLDEN BOAT THAI FOOD,沙田區,Sha Tin,97,新界沙田馬鞍山第196丈量約份第906號地段 大水坑村地下93號,"DD 196 LOT 906, G/F, 93 TAI SHUI HANG VILLAGE, MA ON SHAN, SHA TIN, NEW TERRITORIES",2297802475,RL,,2027-03-21,22.4276756,114.2402751,2026-03-18,ChIJO3PtYAAHBDQRIc_e_pb9CAU,3.4,0.0,8,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
Thai-in,Thai-in,油尖區,Yau Tsim,61,"九龍佐敦吳松街139,139A 及141號地下1號舖","SHOP 1, G/F, 139, 139A & 141 WOOSUNG STREET, JORDAN, KOWLOON",2261807327,RL,,2026-07-28,22.3059889,114.17032,2025-07-21,ChIJxUShDesABDQRLc_BqjKp_hs,3.9,3.0,349,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",English,英文
香草葉泰國菜,Sweet Basil,九龍城區,Kowloon City,52,九龍土瓜灣漆咸道北495號地下A鋪,"SHOP A, G/F, 495 CHATHAM ROAD NORTH, TO KWA WAN, KOWLOON",2252803772,RL,,2026-08-19,22.314182,114.187157,2025-08-11,ChIJ4XGs0oMBBDQR5sOcE2Cnajg,3.5,0.0,12,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
咖哩泰泰,咖哩泰泰,元朗區,Yuen Long,94,"新界元朗鳳攸南街3號好順景大廈 地下11,12及52號鋪及鋪前露天座位","SHOP 11, 12 & 52, G/F,  AND THE OUTSIDE SEATING ACCOMMODATION AT SHOPFRONT, HO SHUN KING BUILDING, 3 FUNG YAU STREET SOUTH, YUEN LONG, NEW TERRITORIES",2294802243,RL,#A#G,2026-07-31,22.4420056,114.0340503,2025-11-24,ChIJ8c8WLgDxAzQRoIHXI7Zeg5M,3.5,0.0,30,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
金屋泰國菜館,Golden Home Thai Food,荃灣區,Tsuen Wan,92,新界荃灣楊屋道69-71號地下,"G/F, 69-71 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",2292802993,RL,,2026-08-29,22.367904,114.1154103,2025-08-15,ChIJeV_F0TP5AzQRWGwPpfppB9s,4.0,3.0,307,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
